,movieId,userId,tag,timestamp,Date,Month_Year
12875,1150,66281,based on a book,1332025687,2012-03-17 23:08:07,03/2012
12887,4700,66281,based on a book,1332029082,2012-03-18 00:04:42,03/2012
12945,68319,43829,comic book,1241726003,2009-05-07 19:53:23,05/2009
13508,1619,67683,based on a book,1278689095,2010-07-09 15:24:55,07/2010
13514,1913,67683,adapted from:book,1278689016,2010-07-09 15:23:36,07/2010
13578,55247,67683,based on a book,1278688897,2010-07-09 15:21:37,07/2010
13581,55820,67683,based on a book,1278688868,2010-07-09 15:21:08,07/2010
13594,72011,67683,based on a book,1278688750,2010-07-09 15:19:10,07/2010
13623,1884,60349,based on a book,1311908990,2011-07-29 03:09:50,07/2011
14367,55442,66455,comic book,1297776506,2011-02-15 13:28:26,02/2011
14705,593,65670,based on a book,1423077378,2015-02-04 19:16:18,02/2015
14794,778,98741,based on a book,1265614611,2010-02-08 07:36:51,02/2010
14796,1073,98741,based on a book,1265614499,2010-02-08 07:34:59,02/2010
14801,1295,98741,based on a book,1265614540,2010-02-08 07:35:40,02/2010
14822,2959,98741,based on a book,1265614343,2010-02-08 07:32:23,02/2010
14860,56174,98741,based on a book,1265613988,2010-02-08 07:26:28,02/2010
14888,1213,13665,adapted from:book,1313268792,2011-08-13 20:53:12,08/2011
14889,1213,13665,based on a book,1313268798,2011-08-13 20:53:18,08/2011
14930,6016,13665,based on a book,1313268148,2011-08-13 20:42:28,08/2011
15028,58559,13665,comic book,1313268232,2011-08-13 20:43:52,08/2011
15109,76093,13665,based on a book,1313268990,2011-08-13 20:56:30,08/2011
15287,5064,59424,not by book,1165548741,2006-12-08 03:32:21,12/2006
15290,5377,59424,books,1140455343,2006-02-20 17:09:03,02/2006
15314,3793,35983,comic book,1371226981,2013-06-14 16:23:01,06/2013
15335,79702,35983,comic book,1371227096,2013-06-14 16:24:56,06/2013
15585,593,68874,based on a book,1315948555,2011-09-13 21:15:55,09/2011
15611,1206,68874,based on a book,1315963496,2011-09-14 01:24:56,09/2011
15636,1873,68874,adapted from:book,1319935657,2011-10-30 00:47:37,10/2011
15664,2288,68874,based on a book,1322296015,2011-11-26 08:26:55,11/2011
15784,6333,73445,comic book,1243823203,2009-06-01 02:26:43,06/2009
15798,77561,96985,comic book,1389969456,2014-01-17 14:37:36,01/2014
15814,1270,127536,based on a book,1262469488,2010-01-02 21:58:08,01/2010
15839,33004,127536,based on a book,1262470866,2010-01-02 22:21:06,01/2010
15876,349,33003,based on a book,1288112875,2010-10-26 17:07:55,10/2010
15992,67255,33003,based on a book,1339674102,2012-06-14 11:41:42,06/2012
16037,82459,33003,based on a book,1339675790,2012-06-14 12:09:50,06/2012
16046,88810,33003,based on a book,1339675602,2012-06-14 12:06:42,06/2012
16049,89492,33003,based on a book,1339673871,2012-06-14 11:37:51,06/2012
16174,2959,57742,based on a book,1401609815,2014-06-01 08:03:35,06/2014
16249,1377,3076,comic book,1188178338,2007-08-27 01:32:18,08/2007
16289,3556,68205,based on a book,1360516486,2013-02-10 17:14:46,02/2013
16372,17,86156,based on a book,1221963697,2008-09-21 02:21:37,09/2008
16421,1271,86156,based on a book,1228678473,2008-12-07 19:34:33,12/2008
16592,77561,85518,comic book,1365126924,2013-04-05 01:55:24,04/2013
16610,86332,85518,comic book,1304568598,2011-05-05 04:09:58,05/2011
16624,88140,85518,comic book,1365128589,2013-04-05 02:23:09,04/2013
16629,89745,85518,comic book,1365127057,2013-04-05 01:57:37,04/2013
16803,44191,2702,comic book,1378487184,2013-09-06 17:06:24,09/2013
16890,98809,2702,based on a book,1378486201,2013-09-06 16:50:01,09/2013
16939,76251,16539,comic book,1282961849,2010-08-28 02:17:29,08/2010
17632,1232,124998,the book was better,1376792519,2013-08-18 02:21:59,08/2013
18227,2687,124998,the book was better,1412742576,2014-10-08 04:29:36,10/2014
18639,5313,124998,comic book feel,1315280532,2011-09-06 03:42:12,09/2011
18938,6947,124998,every cliche in the book,1362215026,2013-03-02 09:03:46,03/2013
18975,7099,124998,the book was better,1377805171,2013-08-29 19:39:31,08/2013
19202,27904,124998,the book was better,1377805211,2013-08-29 19:40:11,08/2013
19223,31658,124998,better than the book,1381987831,2013-10-17 05:30:31,10/2013
19303,34048,124998,book was better,1315192694,2011-09-05 03:18:14,09/2011
19720,59501,124998,not true to the book,1328503859,2012-02-06 04:50:59,02/2012
19736,60040,124998,comic book,1315205088,2011-09-05 06:44:48,09/2011
19909,74789,124998,not true to the book,1315202834,2011-09-05 06:07:14,09/2011
19911,74789,124998,the book was better,1334630662,2012-04-17 02:44:22,04/2012
20317,106489,124998,not true to the book,1388293633,2013-12-29 05:07:13,12/2013
20338,111759,124998,the book was better,1407220932,2014-08-05 06:42:12,08/2014
20361,2117,124102,based on book,1192380907,2007-10-14 16:55:07,10/2007
20368,3793,124102,comic book,1167419560,2006-12-29 19:12:40,12/2006
20381,5349,124102,comic book,1167419572,2006-12-29 19:12:52,12/2006
20384,5952,124102,based on a book,1167419354,2006-12-29 19:09:14,12/2006
20388,6333,124102,comic book,1167419541,2006-12-29 19:12:21,12/2006
20407,8636,124102,comic book,1167419545,2006-12-29 19:12:25,12/2006
20423,36517,124102,based on a book,1183149857,2007-06-29 20:44:17,06/2007
20488,48774,124102,based on a book,1169682458,2007-01-24 23:47:38,01/2007
20501,55247,124102,based on a book,1230530221,2008-12-29 05:57:01,12/2008
20545,27706,40768,book was better,1372757041,2013-07-02 09:24:01,07/2013
20595,56174,13814,based on a book,1242584427,2009-05-17 18:20:27,05/2009
20605,60684,13814,comic book,1242544262,2009-05-17 07:11:02,05/2009
20698,838,93705,book was better,1243168444,2009-05-24 12:34:04,05/2009
20941,39183,92814,based on a book,1292036246,2010-12-11 02:57:26,12/2010
21119,96079,92814,adapted from:book series,1354853504,2012-12-07 04:11:44,12/2012
21161,5349,2248,comic book,1151067458,2006-06-23 12:57:38,06/2006
21333,66097,93710,based on a book,1290950807,2010-11-28 13:26:47,11/2010
21794,5040,91346,comic book feel,1284818223,2010-09-18 13:57:03,09/2010
21801,5313,91346,comic book feel,1284818103,2010-09-18 13:55:03,09/2010
21804,5418,91346,adapted from:book,1284811774,2010-09-18 12:09:34,09/2010
22923,63082,122710,based on a book,1241404934,2009-05-04 02:42:14,05/2009
23036,5816,44400,based on a book,1372862046,2013-07-03 14:34:06,07/2013
23071,67255,44400,based on a book,1372860812,2013-07-03 14:13:32,07/2013
23081,91658,44400,based on a book,1372860676,2013-07-03 14:11:16,07/2013
23150,8636,21280,Comic Book adaption,1187188022,2007-08-15 14:27:02,08/2007
23156,45499,21280,comic book,1186691560,2007-08-09 20:32:40,08/2007
23353,173,27731,comic book,1315781416,2011-09-11 22:50:16,09/2011
23463,89745,27731,comic book,1339726766,2012-06-15 02:19:26,06/2012
23617,58559,104958,comic book,1283839098,2010-09-07 05:58:18,09/2010
23713,45447,113518,book is better,1291477473,2010-12-04 15:44:33,12/2010
23757,63992,113518,based on a book,1297692986,2011-02-14 14:16:26,02/2011
23934,44191,111841,comic book,1245685076,2009-06-22 15:37:56,06/2009
23986,150,22074,based on a book,1291057059,2010-11-29 18:57:39,11/2010
24005,318,22074,based on a book,1291056977,2010-11-29 18:56:17,11/2010
24013,356,22074,based on a book,1291056868,2010-11-29 18:54:28,11/2010
24029,480,22074,based on a book,1291056943,2010-11-29 18:55:43,11/2010
24060,593,22074,based on a book,1291056887,2010-11-29 18:54:47,11/2010
24094,858,22074,based on a book,1291057297,2010-11-29 19:01:37,11/2010
24201,1779,22074,based on a book,1291061533,2010-11-29 20:12:13,11/2010
24219,1997,22074,based on a book,1291060705,2010-11-29 19:58:25,11/2010
24490,48780,22074,based on a book,1291059126,2010-11-29 19:32:06,11/2010
24835,2986,53834,comic book,1233632636,2009-02-03 03:43:56,02/2009
25007,541,130446,based on a book,1310344318,2011-07-11 00:31:58,07/2011
25024,593,130446,based on a book,1310344749,2011-07-11 00:39:09,07/2011
25066,1258,130446,adapted from:book,1310344061,2011-07-11 00:27:41,07/2011
25285,5464,130446,comic book,1425848850,2015-03-08 21:07:30,03/2015
25371,7373,130446,comic book,1310345559,2011-07-11 00:52:39,07/2011
25467,46976,130446,books,1335658405,2012-04-29 00:13:25,04/2012
25773,102125,130446,comic book,1402097756,2014-06-06 23:35:56,06/2014
26163,5952,115679,based on a book,1263873623,2010-01-19 04:00:23,01/2010
26209,7153,115679,based on a book,1263873597,2010-01-19 03:59:57,01/2010
26283,54259,115679,based on a book,1263875170,2010-01-19 04:26:10,01/2010
26474,5349,118482,comic book,1294129686,2011-01-04 08:28:06,01/2011
27012,48774,27579,based on a book,1285165375,2010-09-22 14:22:55,09/2010
27048,48780,74182,based on a book,1307740408,2011-06-10 21:13:28,06/2011
27090,55247,58265,based on a book,1299476549,2011-03-07 05:42:29,03/2011
27112,51662,120907,comic book,1227622771,2008-11-25 14:19:31,11/2008
27745,7502,108442,based on a book,1302811348,2011-04-14 20:02:28,04/2011
27981,72011,108442,based on a book,1280429729,2010-07-29 18:55:29,07/2010
28083,91658,108442,based on a book,1384111979,2013-11-10 19:32:59,11/2013
28144,356,56574,worse book,1423284901,2015-02-07 04:55:01,02/2015
28932,50872,86485,books,1254188416,2009-09-29 01:40:16,09/2009
29186,55290,134525,based on a book,1296510527,2011-01-31 21:48:47,01/2011
29213,74789,134525,based on a book,1296571091,2011-02-01 14:38:11,02/2011
29678,902,14947,adapted from:book,1284067556,2010-09-09 21:25:56,09/2010
29785,2529,14947,adapted from:book,1362842719,2013-03-09 15:25:19,03/2013
29825,2949,14947,adapted from:book,1335712197,2012-04-29 15:09:57,04/2012
29830,2959,14947,adapted from:book,1283594616,2010-09-04 10:03:36,09/2010
29905,4993,14947,adapted from:book,1332696046,2012-03-25 17:20:46,03/2012
29956,5952,14947,adapted from:book,1332696302,2012-03-25 17:25:02,03/2012
29978,5992,14947,adapted from:book,1287617705,2010-10-20 23:35:05,10/2010
30047,34048,14947,adapted from:book,1282926608,2010-08-27 16:30:08,08/2010
30094,40583,14947,adapted from:book,1341688539,2012-07-07 19:15:39,07/2012
30206,56782,14947,adapted from:book,1325827801,2012-01-06 05:30:01,01/2012
30228,64957,14947,adapted from:book,1283814532,2010-09-06 23:08:52,09/2010
30242,67255,14947,adapted from:book,1300661077,2011-03-20 22:44:37,03/2011
30306,80463,14947,adapted from:book,1296859948,2011-02-04 22:52:28,02/2011
30367,97938,14947,adapted from:book,1385246870,2013-11-23 22:47:50,11/2013
30370,98809,14947,adapted from:book,1356212090,2012-12-22 21:34:50,12/2012
30426,7147,89721,based on a book,1291402683,2010-12-03 18:58:03,12/2010
30441,73017,89721,Based on a book,1263832419,2010-01-18 16:33:39,01/2010
30581,73321,62314,books,1289483476,2010-11-11 13:51:16,11/2010
31299,592,83507,comic book,1210639945,2008-05-13 00:52:25,05/2008
31486,91500,48410,based on a book,1332711134,2012-03-25 21:32:14,03/2012
31629,60684,130955,comic book,1236831825,2009-03-12 04:23:45,03/2009
32152,27706,53407,based on a book,1241431364,2009-05-04 10:02:44,05/2009
32221,58025,53407,based on a book,1241431406,2009-05-04 10:03:26,05/2009
32238,63992,53407,based on a book,1241430226,2009-05-04 09:43:46,05/2009
32255,7158,82647,good book,1186625071,2007-08-09 02:04:31,08/2007
32420,3198,90453,book was better,1394129024,2014-03-06 18:03:44,03/2014
32521,44191,90453,based on a book,1394127232,2014-03-06 17:33:52,03/2014
32522,44191,90453,comic book,1394127028,2014-03-06 17:30:28,03/2014
32936,2,110148,based on a book,1412378113,2014-10-03 23:15:13,10/2014
32982,2087,110148,based on a book,1412377463,2014-10-03 23:04:23,10/2014
33025,66097,110148,based on a book,1412378373,2014-10-03 23:19:33,10/2014
33038,81834,110148,based on a book,1421028071,2015-01-12 02:01:11,01/2015
33091,858,103076,book,1142285951,2006-03-13 21:39:11,03/2006
33167,1193,103076,book,1148837750,2006-05-28 17:35:50,05/2006
33182,1219,103076,book,1142342772,2006-03-14 13:26:12,03/2006
33402,3179,103076,book,1142787346,2006-03-19 16:55:46,03/2006
33437,3535,103076,book,1142342758,2006-03-14 13:25:58,03/2006
33455,3871,103076,book,1142788418,2006-03-19 17:13:38,03/2006
33464,3988,103076,based on a book,1181175815,2007-06-07 00:23:35,06/2007
33519,6157,103076,comic book,1142428094,2006-03-15 13:08:14,03/2006
33550,30793,103076,based on book,1181176098,2007-06-07 00:28:18,06/2007
33556,37733,103076,comic book,1149387229,2006-06-04 02:13:49,06/2006
33568,44191,103076,comic book,1142824809,2006-03-20 03:20:09,03/2006
33815,91529,126912,comic book,1362276084,2013-03-03 02:01:24,03/2013
34600,2138,27898,adapted from:book,1267985830,2010-03-07 18:17:10,03/2010
34603,2138,27898,based on a book,1267985888,2010-03-07 18:18:08,03/2010
34629,2161,27898,based on a book,1426265677,2015-03-13 16:54:37,03/2015
34670,2288,27898,based on a book,1385759203,2013-11-29 21:06:43,11/2013
35006,3355,27898,ancient books,1421839888,2015-01-21 11:31:28,01/2015
35012,3355,27898,rare books,1421839891,2015-01-21 11:31:31,01/2015
35346,7022,27898,based on a book,1271953074,2010-04-22 16:17:54,04/2010
35605,55442,27898,comic book,1268077660,2010-03-08 19:47:40,03/2010
35712,76251,27898,comic book,1297019948,2011-02-06 19:19:08,02/2011
35754,86332,27898,comic book,1331142986,2012-03-07 17:56:26,03/2012
35826,1726,42399,the book was better,1145384943,2006-04-18 18:29:03,04/2006
35827,3256,42399,the book was better,1145384969,2006-04-18 18:29:29,04/2006
39635,3198,86204,based on a book,1403926743,2014-06-28 03:39:03,06/2014
39653,3355,86204,ancient books,1410050790,2014-09-07 00:46:30,09/2014
40306,73321,53877,books,1344949492,2012-08-14 13:04:52,08/2012
40552,778,135223,based on a book,1244857101,2009-06-13 01:38:21,06/2009
41772,2117,22483,cool and thoughtful mood but still should read book,1187342351,2007-08-17 09:19:11,08/2007
41910,253,19800,based on a book,1248695256,2009-07-27 11:47:36,07/2009
41911,253,19800,book was better,1248695259,2009-07-27 11:47:39,07/2009
41953,318,19800,based on a book,1256494208,2009-10-25 18:10:08,10/2009
41963,356,19800,based on a book,1248694850,2009-07-27 11:40:50,07/2009
42120,1270,19800,based on a book,1248695198,2009-07-27 11:46:38,07/2009
42281,2959,19800,based on a book,1248695148,2009-07-27 11:45:48,07/2009
42294,3256,19800,adapted from:book,1346196435,2012-08-28 23:27:15,08/2012
42311,3793,19800,comic book,1248710830,2009-07-27 16:07:10,07/2009
42364,4993,19800,based on a book,1248695365,2009-07-27 11:49:25,07/2009
42375,5349,19800,comic book,1249595097,2009-08-06 21:44:57,08/2009
42394,5816,19800,based on a book,1250530314,2009-08-17 17:31:54,08/2009
42402,5952,19800,based on a book,1265146732,2010-02-02 21:38:52,02/2010
42432,7153,19800,based on a book,1248695305,2009-07-27 11:48:25,07/2009
42477,40815,19800,based on a book,1250530243,2009-08-17 17:30:43,08/2009
42529,58559,19800,comic book,1248706089,2009-07-27 14:48:09,07/2009
42575,68319,19800,Comic Book adaption,1249472993,2009-08-05 11:49:53,08/2009
42606,69844,19800,shorter than the book,1248268864,2009-07-22 13:21:04,07/2009
42622,80463,19800,adapted from:book,1286702178,2010-10-10 09:16:18,10/2010
42630,81834,19800,based on a book,1291318913,2010-12-02 19:41:53,12/2010
42647,750,62716,based on a book,1419912115,2014-12-30 04:01:55,12/2014
42674,253,36628,based on a book,1172065260,2007-02-21 13:41:00,02/2007
42678,318,36628,based on a book,1172238308,2007-02-23 13:45:08,02/2007
42683,750,36628,based on a book,1172102562,2007-02-22 00:02:42,02/2007
42685,858,36628,based on a book,1172065605,2007-02-21 13:46:45,02/2007
42687,919,36628,based on a book,1172242889,2007-02-23 15:01:29,02/2007
42689,1073,36628,based on a book,1172243001,2007-02-23 15:03:21,02/2007
42691,1178,36628,based on a book,1227686775,2008-11-26 08:06:15,11/2008
42693,1193,36628,based on a book,1227686300,2008-11-26 07:58:20,11/2008
42697,1208,36628,based on a book,1178606970,2007-05-08 06:49:30,05/2007
42720,2959,36628,based on a book,1172062826,2007-02-21 13:00:26,02/2007
42727,3435,36628,based on a book,1213022990,2008-06-09 14:49:50,06/2008
42737,4306,36628,based on a book,1172065022,2007-02-21 13:37:02,02/2007
42741,4896,36628,based on a book,1227166894,2008-11-20 07:41:34,11/2008
42742,5064,36628,based on a book,1172240840,2007-02-23 14:27:20,02/2007
42747,5816,36628,based on a book,1227166903,2008-11-20 07:41:43,11/2008
42748,5952,36628,based on a book,1172064676,2007-02-21 13:31:16,02/2007
42749,6016,36628,based on a book,1225189863,2008-10-28 10:31:03,10/2008
42759,7153,36628,based on a book,1172241978,2007-02-23 14:46:18,02/2007
42764,8368,36628,based on a book,1227164818,2008-11-20 07:06:58,11/2008
42770,30793,36628,based on a book,1227167029,2008-11-20 07:43:49,11/2008
42778,40815,36628,based on a book,1227166899,2008-11-20 07:41:39,11/2008
42787,52435,36628,based on a book,1227685027,2008-11-26 07:37:07,11/2008
42795,54259,36628,based on a book,1188879371,2007-09-04 04:16:11,09/2007
42796,55814,36628,based on a book,1200747682,2008-01-19 13:01:22,01/2008
42798,56171,36628,based on a book,1199440154,2008-01-04 09:49:14,01/2008
42799,56174,36628,based on a book,1204460160,2008-03-02 12:16:00,03/2008
42801,56782,36628,based on a book,1200683573,2008-01-18 19:12:53,01/2008
42810,59501,36628,based on a book,1213020722,2008-06-09 14:12:02,06/2008
42819,66097,36628,based on a book,1236161026,2009-03-04 10:03:46,03/2009
42971,541,21058,based on a book,1396417252,2014-04-02 05:40:52,04/2014
42977,674,21058,comic book,1401509765,2014-05-31 04:16:05,05/2014
43017,1032,21058,based on a book,1400031536,2014-05-14 01:38:56,05/2014
43112,1339,21058,based on a book,1400014556,2014-05-13 20:55:56,05/2014
43117,1584,21058,based on a book,1400378241,2014-05-18 01:57:21,05/2014
43137,1711,21058,adapted from:book,1400035250,2014-05-14 02:40:50,05/2014
43138,1711,21058,based on a book,1400035205,2014-05-14 02:40:05,05/2014
43171,2022,21058,based on a book,1400032395,2014-05-14 01:53:15,05/2014
43184,2467,21058,adapted from:book,1400032244,2014-05-14 01:50:44,05/2014
43186,2467,21058,based on a book,1400032207,2014-05-14 01:50:07,05/2014
43195,2513,21058,adapted from:book,1403411148,2014-06-22 04:25:48,06/2014
43288,4027,21058,adapted from:book,1399433460,2014-05-07 03:31:00,05/2014
43289,4027,21058,based on a book,1399433460,2014-05-07 03:31:00,05/2014
43301,4865,21058,comic book,1399434097,2014-05-07 03:41:37,05/2014
43325,5445,21058,adapted from:book,1399691311,2014-05-10 03:08:31,05/2014
43326,5445,21058,based on a book,1399691361,2014-05-10 03:09:21,05/2014
43364,6620,21058,comic books,1396418823,2014-04-02 06:07:03,04/2014
43412,8873,21058,based on a book,1396420760,2014-04-02 06:39:20,04/2014
43417,8949,21058,adapted from:book,1396418734,2014-04-02 06:05:34,04/2014
43418,8949,21058,based on a book,1396418734,2014-04-02 06:05:34,04/2014
43443,27904,21058,adapted from:book,1399430923,2014-05-07 02:48:43,05/2014
43445,27904,21058,based on a book,1399430915,2014-05-07 02:48:35,05/2014
43451,32587,21058,comic book,1399433051,2014-05-07 03:24:11,05/2014
